Address 1,City,Country,County,Location,Name,Number of Officers,Phone #,Population Served,State,Type,Website,Zip Code,Fax #,Address 2
200 E Wisconsin,Greensburg,United States,Kiowa County,"Greensburg, KS",Kiowa County Sheriffs Department,7,620-723-2182,3500,Kansas,Sheriffs Departments,,67054-2339,620-723-3328,
106 E Washington,Lakin,United States,Kearny County,"Lakin, KS",Kearny County Sheriffs Department,12,620-355-6211,4000,Kansas,Sheriffs Departments,,,620-355-6680,
601 Meldon Ave,Donora,United States,Washington County,"Donora, PA",Donora Police Department,6,724-379-9292,5700,Pennsylvania,Police Departments,,15033-1006,724-379-9202,
500 Main St 3rd Fl,Jetmore,United States,Hodgeman County,"Jetmore, KS",Hodgeman County Sheriffs Department,4,620-357-8391,2100,Kansas,Sheriffs Departments,,,620-357-8300,
208 E Harper,Tribune,United States,Greeley County,"Tribune, KS",Greeley County Sheriffs Office,4,620-376-4233,2000,Kansas,Sheriffs Departments,,,620-376-2418,
300 S Inman St,Sublette,United States,Haskell County,"Sublette, KS",Haskell County Sheriffs Department,10,620-675-2289,5100,Kansas,Sheriffs Departments,,,620-675-2638,
927 Freeport Rd,Creighton,United States,Allegheny County,"Creighton, PA",East Deer Township Police Department,11,724-224-3434,1800,Pennsylvania,Police Departments,,15030-1049,724-224-0564,
111 E 11th St,Lawrence,United States,Douglas County,"Lawrence, KS",Douglas County Sheriffs Office,106,785-841-0007,85000,Kansas,Sheriffs Departments,,66044-2913,785-841-5168,
420 Broad St,Gove,United States,Gove County,"Gove, KS",Gove County Sheriffs Department,4,785-938-2250,3250,Kansas,Sheriffs Departments,,67736-9746,785-938-2251,
220 S Atlantic Ave,Cheswick,United States,Allegheny County,"Cheswick, PA",Cheswick Police Department,9,724-274-4464,1900,Pennsylvania,Police Departments,,15024-1608,724-274-5121,
408 N Central St,Coldwater,United States,Comanche County,"Coldwater, KS",Comanche County Sheriffs Department,6,620-582-2511,2500,Kansas,Sheriffs Departments,,,620-582-2261,
221 W 9th St,Ashland,United States,Clark County,"Ashland, KS",Clark County Sheriffs Department,4,620-635-2802,2600,Kansas,Sheriffs Departments,,,620-635-2148,
925 Old Clairton Rd,Jefferson Hills,United States,Allegheny County,"Jefferson Hills, PA",Jefferson Hills Borough Plc Department,16,412-655-2222,12000,Pennsylvania,Police Departments,,15025-3133,412-655-8365,
907 Broad St,Keosauqua,United States,Van Buren County,"Keosauqua, IA",Van Buren County Sheriffs Office,5,319-293-3426,8000,Iowa,Sheriffs Departments,,,319-293-7114,
201 S 3rd St,Montezuma,United States,Poweshiek County,"Montezuma, IA",Poweshiek County Sheriffs Department,10,641-623-5679,19000,Iowa,Sheriffs Departments,,50171-1001,641-623-5120,
1509 Main St,Burgettstown,United States,Washington County,"Burgettstown, PA",Burgettstown Borough Police Department,12,724-947-4180,1614,Pennsylvania,Police Departments,,15021-1171,724-947-0727,
240 1st St NE,Primghar,United States,Obrien County,"Primghar, IA",OBrien County Sheriffs Department,10,712-757-3415,16500,Iowa,Sheriffs Departments,,,712-757-5445,
309 6th St,Sibley,United States,Osceola County,"Sibley, IA",Osceola County Sheriffs Department,11,712-754-2556,10000,Iowa,Sheriffs Departments,,51249-1619,712-754-2872,
451 14th Ave NE,LeMars,United States,Plymouth County,"LeMars, IA",Plymouth County Sheriffs Office,9,712-546-8191,25000,Iowa,Sheriffs Departments,,51031-8826,712-546-8796,
511 S Capitol St,Iowa City,United States,Johnson County,"Iowa City, IA",Johnson County Sheriffs Department,47,319-356-6020,81717,Iowa,Sheriffs Departments,,52240-1530,319-356-6017,
522 Rock Run Rd,Buena Vista,United States,Allegheny County,"Buena Vista, PA",Elizabeth Township Police Department,16,412-751-7325,14712,Pennsylvania,Police Departments,,,412-751-7329,
1000 Brackenridge Ave,Brackenridge,United States,Allegheny County,"Brackenridge, PA",Brackenridge Police Department,5,724-224-0800,4297,Pennsylvania,Police Departments,,15014-1599,724-224-4592,
401 Moorehead St,Ida Grove,United States,Ida County,"Ida Grove, IA",Ida County Sheriffs Department,9,712-364-3146,8300,Iowa,Sheriffs Departments,,51445-1435,712-364-2746,
10 Main St,Belle Vernon,United States,Fayette County,"Belle Vernon, PA",Belle Vernon Police Department,6,724-929-8484,2600,Pennsylvania,Police Departments,,15012-1108,724-929-6523,
1888 S State Rte 63,Newport,United States,Vermillion County,"Newport, IN",Vermillion County Sheriffs Department,7,765-492-3737,16700,Indiana,Sheriffs Departments,,,765-492-5012,
2811 Darlington Rd,Beaver Falls,United States,Beaver County,"Beaver Falls, PA",Chippewa Township Police Department,10,724-843-8227,8000,Pennsylvania,Police Departments,,15010-1027,724-843-4369,
111 S 1st St,Scottsburg,United States,Scott County,"Scottsburg, IN",Scott County Sheriffs Department,8,812-752-8400,23000,Indiana,Sheriffs Departments,,47170-1802,812-752-5751,
221 W Main St,Warsaw,United States,Kosciusko County,"Warsaw, IN",Kosciusko County Sheriffs Department,35,574-267-5667,75000,Indiana,Sheriffs Departments,,46580-2715,574-269-6195,
925 S State St,Vernon,United States,Jennings County,"Vernon, IN",Jennings County Sheriffs Department,7,812-346-8642,24000,Indiana,Sheriffs Departments,,47265-7686,812-346-5122,
111 N 3rd St,Goshen,United States,Elkhart County,"Goshen, IN",Elkhart County Sheriffs Department,67,574-533-8644,186000,Indiana,Sheriffs Departments,,46526-3299,574-533-6686,
149 State St,Baden,United States,Beaver County,"Baden, PA",Baden Police Department,13,724-869-3705,5500,Pennsylvania,Police Departments,,15005-1937,724-869-3704,
2501 Woodland Rd,Ambridge,United States,Beaver County,"Ambridge, PA",Harmony Township Police Department,4,724-266-2321,4000,Pennsylvania,Police Departments,,15003-1338,724-266-1339,
1139 Pennsylvania Ave,Elmira,United States,Chemung County,"Elmira, NY",Southport Town Police Department,1,607-734-3637,10471,New York,Police Departments,,14904-2588,607-737-5267,
Courthouse Rm 101,Ft Wayne,United States,Allen County,"Ft Wayne, IN",Allen County Sheriffs Department,124,260-449-7535,331849,Indiana,Sheriffs Departments,,45802,260-449-7915,
224 Center Grange Rd,Aliquippa,United States,Beaver County,"Aliquippa, PA",Center Township Police Department,20,724-774-0271,10500,Pennsylvania,Police Departments,,15001-1421,724-774-6055,
1255 W Water St,Elmira,United States,Chemung County,"Elmira, NY",Elmira Town Police Department,6,607-734-2031,5500,New York,Police Departments,,14905-1965,607-734-4089,
303 N Franklin St,Watkins Glen,United States,Schuyler County,"Watkins Glen, NY",Watkins Glen Village Police Department,4,607-535-7883,2700,New York,Police Departments,,14891-1202,607-535-7621,
Courthouse Hill,Elizabethtown,United States,Hardin County,"Elizabethtown, IL",Hardin County Sheriffs Department,5,618-287-2271,5400,Illinois,Sheriffs Departments,,,618-287-2992,
50 W Washington Rchrd J Daley Ctr,Chicago,United States,Cook County,"Chicago, IL","Cook County Sheriffs Office, IL",4000,312-603-6444,5300000,Illinois,Sheriffs Departments,,60602,312-603-4420,
5 Elm St,Trumansburg,United States,Tompkins County,"Trumansburg, NY",Trumansburg Village Police Department,11,607-387-6505,2100,New York,Police Departments,,,607-387-5874,
Steuben & W High St,Painted Post,United States,Steuben County,"Painted Post, NY",Painted Post Village Police Department,9,607-962-4604,2000,New York,Police Departments,,,607-962-7028,
202 S Main St,Horseheads,United States,Chemung County,"Horseheads, NY",Horseheads Village Police Department,12,607-739-5668,7000,New York,Police Departments,,14845-2429,607-739-3941,
836 Hanshaw Rd,Ithaca,United States,Tompkins County,"Ithaca, NY",Cayuga Heights Village Police Department,6,607-257-1011,4000,New York,Police Departments,,14850-1548,607-257-3474,
717 Bank St,Wallace,United States,Shoshone County,"Wallace, ID",Shoshone County Sheriffs Department,14,208-556-1114,13931,Idaho,Sheriffs Departments,,83873-2303,208-753-8851,
119 W Willow St,Fairfield,United States,Camas County,"Fairfield, ID",Camas County Sheriffs Department,3,208-764-2261,1023,Idaho,Sheriffs Departments,,,208-764-2721,
110 Broadway,Hornell,United States,Steuben County,"Hornell, NY",Hornell City Police Department,21,607-324-2860,12000,New York,Police Departments,,14843-1518,607-324-5182,
5500 N Government Way,Coeur d'Alene,United States,Kootenai County,"Coeur d'Alene, ID",Kootenai County Sheriffs Department,76,208-446-1300,112000,Idaho,Sheriffs Departments,,83815-9259,208-446-1307,
1 Civic Center Plz,Corning,United States,Steuben County,"Corning, NY",Corning City Police Department,23,607-962-2451,13000,New York,Police Departments,,14830-2844,607-936-1657,
605 N Capital,Idaho Falls,United States,Bonneville County,"Idaho Falls, ID",Bonneville County Sheriff's Office,134,208-529-1350,80000,Idaho,Sheriffs Departments,,83402-3582,208-529-1297,
256 W Grand Ave,Arco,United States,Butte County,"Arco, ID",Butte County Sheriffs Office,5,208-527-8553,4000,Idaho,Sheriffs Departments,,83213,208-527-3916,
5800 S 5th Ave,Pocatello,United States,Bannock County,"Pocatello, ID",Bannock County Sheriffs Department,65,208-236-7116,70000,Idaho,Sheriffs Departments,,83204-2205,208-236-7193,
35 Main St,Canisteo,United States,Steuben County,"Canisteo, NY",Canisteo Village Police Department,6,607-698-4211,3000,New York,Police Departments,,14823-1125,607-698-9397,
201 Industrial,Council,United States,Adams County,"Council, ID",Adams County Sheriffs Office,10,208-253-4258,3400,Idaho,Sheriffs Departments,,,208-253-1141,
805 Professional Blvd,Dalton,United States,Whitfield County,"Dalton, GA",Whitfield County Sheriffs Department,130,706-278-1233,80000,Georgia,Sheriffs Departments,,30720-2536,706-279-3160,
175 Montgomery St,Preston,United States,Webster County,"Preston, GA",Webster County Sheriffs Office,5,229-828-2515,2400,Georgia,Sheriffs Departments,,31824-3924,229-828-8870,
3487 Harris Rd,Waycross,United States,Ware County,"Waycross, GA",Ware County Sheriffs Office,32,912-287-4326,35483,Georgia,Sheriffs Departments,,31503-8960,912-287-2481,
110 Liberty St,Bath,United States,Steuben County,"Bath, NY",Bath Village Police Department,17,607-776-2175,5641,New York,Police Departments,,14810-1526,607-776-5025,
921 Smith Ave,Thomasville,United States,Thomas County,"Thomasville, GA",Thomas County Sheriffs Office,37,229-225-3300,43000,Georgia,Sheriffs Departments,,31799-5623,229-225-3400,
4070 A Hwy 339,Young Harris,United States,Towns County,"Young Harris, GA",Towns County Sheriffs Department,14,706-896-4444,9400,Georgia,Sheriffs Departments,,30582,706-896-3349,
130 Sam Walker Dr,LaGrange,United States,Troup County,"LaGrange, GA",Troup County Sheriffs Office,97,706-883-1616,50000,Georgia,Sheriffs Departments,,30240-7999,706-883-1694,
401 Walton Way,Augusta,United States,Richmond County,"Augusta, GA",Richmond County Sheriffs Office,682,706-821-1000,195000,Georgia,Sheriffs Departments,,30911-5804,706-821-1064,
4 Main St,Andover,United States,Allegany County,"Andover, NY",Andover Village Police Department,7,607-478-8448,1200,New York,Police Departments,,,607-478-8928,
7 W University St,Alfred,United States,Allegany County,"Alfred, NY",Alfred Village Police Department,17,607-587-8878,8000,New York,Police Departments,,14802-1197,607-587-9138,
23 Elm St,Westfield,United States,Chautauqua County,"Westfield, NY",Westfield Village Police Department,17,716-326-2531,9300,New York,Police Departments,,14787-1401,716-326-3377,
225 W Main St,Lexington,United States,Oglethorpe County,"Lexington, GA",Oglethorpe County Sheriffs Department,9,706-743-8101,11000,Georgia,Sheriffs Departments,,,706-743-3969,
1 Barrett Dr,Salamanca,United States,Cattaraugus County,"Salamanca, NY",Salamanca City Police Department,17,716-945-2330,6500,New York,Police Departments,,14779-1542,716-945-6522,
20 W Summit Ave,Lakewood,United States,Chautauqua County,"Lakewood, NY",Lakewood/Busti Village Police Department,11,716-483-1120,4000,New York,Police Departments,,14750-1154,716-763-3206,
100 Main St,Hinesville,United States,Liberty County,"Hinesville, GA",Liberty County Sheriffs Department,55,912-876-2131,65000,Georgia,Sheriffs Departments,,,912-876-2179,
385 E Main St,Dahlonega,United States,Lumpkin County,"Dahlonega, GA",Lumpkin County Sheriffs Department,24,706-864-0414,14573,Georgia,Sheriffs Departments,,30533-0504,706-864-1032,
120 Prison Farm Rd,Valdosta,United States,Lowndes County,"Valdosta, GA",Lowndes County Sheriffs Office,80,229-333-5150,82000,Georgia,Sheriffs Departments,,31603-6534,229-333-5141,
2900 University Pkwy,Lawrenceville,United States,Gwinnett County,"Lawrenceville, GA",Gwinnett County Sheriffs Department,330,770-822-3140,640000,Georgia,Sheriffs Departments,,30043-4588,770-822-3115,
511 Southern Pines Rd,Dublin,United States,Laurens County,"Dublin, GA",Laurens County Sheriffs Department,70,478-272-1522,48000,Georgia,Sheriffs Departments,,31021-1744,478-275-3037,
202 Carl Vinson Pkwy,Warner Robins,United States,Houston County,"Warner Robins, GA",Houston County Sheriffs Department,282,478-542-2125,116000,Georgia,Sheriffs Departments,,31088-5832,478-328-1544,
610 Main St,Gainesville,United States,Hall County,"Gainesville, GA",Hall County Sheriffs Office,285,770-531-6900,120000,Georgia,Sheriffs Departments,,30501-4420,770-531-7150,
101 N Main St,Franklinville,United States,Cattaraugus County,"Franklinville, NY",Franklinville Village Police Department,7,716-676-5697,1900,New York,Police Departments,,14737-1032,716-676-5189,
1 James Little St,Carnesville,United States,Franklin County,"Carnesville, GA",Franklin County Sheriffs Department,23,706-384-2525,21500,Georgia,Sheriffs Departments,,,706-384-4886,
1812 Newcastle St,Brunswick,United States,Glynn County,"Brunswick, GA",Glynn County Sheriffs Office,25,912-554-7600,61300,Georgia,Sheriffs Departments,,31520-6409,912-267-5654,
215 S Work St,Falconer,United States,Chautauqua County,"Falconer, NY",Ellicott Town Police Department,17,716-665-7083,10000,New York,Police Departments,,14733-1435,716-665-7047,
109 General Deloach,Statenville,United States,Echols County,"Statenville, GA",Echols County Sheriffs Department,4,229-559-5603,3000,Georgia,Sheriffs Departments,,,229-559-5678,
111 Court Sq Ste B,Blakely,United States,Early County,"Blakely, GA",Early County Sheriffs Department,14,229-723-3214,13500,Georgia,Sheriffs Departments,,39823-2662,229-723-5246,
225 Pine Ave,Albany,United States,Dougherty County,"Albany, GA",Dougherty County Sheriffs Office,260,229-431-3259,96311,Georgia,Sheriffs Departments,,31702-2561,229-431-2185,
4415 Memorial Dr,Decatur,United States,Dekalb County,"Decatur, GA",De Kalb County Sheriffs Office,725,404-298-8100,548100,Georgia,Sheriffs Departments,,30032-1337,404-298-8101,
912 Spring Creek Rd,Bainbridge,United States,Decatur County,"Bainbridge, GA",Decatur County Sheriffs Office,25,229-248-3044,26800,Georgia,Sheriffs Departments,,39817-3508,229-248-3850,
1 W Washington St,Ellicottville,United States,Cattaraugus County,"Ellicottville, NY",Ellicottville Town Police Department,7,716-699-2120,1750,New York,Police Departments,,14731-9787,716-699-2334,
252 Main St Town Hall,Bolivar,United States,Allegany County,"Bolivar, NY",Bolivar Village Police Department,8,585-928-2234,1500,New York,Police Departments,,14715-1099,585-928-2234,
185 Roswell St,Marietta,United States,Cobb County,"Marietta, GA",Cobb County Sheriffs Office,403,770-499-4600,540000,Georgia,Sheriffs Departments,,30090-1931,770-499-4705,
300 E Washington St,Athens,United States,Clarke County,"Athens, GA",Clarke County Sheriffs Office,136,706-613-3250,105000,Georgia,Sheriffs Departments,,30601-2751,706-613-3255,
379 Broad St,Cusseta,United States,Chattahoochee County,"Cusseta, GA",Chattahoochee County Sheriffs Department,4,706-989-3644,2100,Georgia,Sheriffs Departments,,31805-3709,706-989-0396,
209 E 4th St,Woodbine,United States,Camden County,"Woodbine, GA",Camden County Sheriffs Office,81,912-510-5100,50000,Georgia,Sheriffs Departments,,31569,912-510-5144,
1000 Newnan Rd,Carrollton,United States,Carroll County,"Carrollton, GA",Carroll County Sheriffs Department,85,770-830-5888,85000,Georgia,Sheriffs Departments,,30116-6427,770-830-5894,
106 E Main St,Allegany,United States,Cattaraugus County,"Allegany, NY",Allegany Village Police Department,11,716-373-0873,1978,New York,Police Departments,,14706-1317,716-373-4388,
668 Oglethorpe St,Macon,United States,Bibb County,"Macon, GA",Bibb County Sheriffs Office,235,478-746-9441,160000,Georgia,Sheriffs Departments,,31201-6892,478-621-5681,
226 Candler St,Homer,United States,Banks County,"Homer, GA",Banks County Sheriffs Department,14,706-677-2248,13000,Georgia,Sheriffs Departments,,30547-2610,706-677-4687,
15 N Main St,Wayland,United States,Steuben County,"Wayland, NY",Wayland Village Police Department,8,585-728-9858,2000,New York,Police Departments,,14572-1031,585-728-5875,
15 Oak St,Crawfordville,United States,Wakulla County,"Crawfordville, FL",Wakulla County Sheriffs Department,52,850-926-0800,28000,Florida,Sheriffs Departments,,32327-2014,850-926-0896,
123 W Indiana Ave,DeLand,United States,Volusia County,"DeLand, FL",Volusia County Sheriffs Department,452,386-736-5995,460000,Florida,Sheriffs Departments,,32720-4615,386-822-5074,
Courthouse Rm 102,Lake Butler,United States,Union County,"Lake Butler, FL",Union County Sheriffs Department,15,386-496-2501,13200,Florida,Sheriffs Departments,,,386-496-3600,
4015 Lewis Speedway,St Augustine,United States,St Johns County,"St Augustine, FL",St Johns County Sheriffs Office,325,904-824-8304,113941,Florida,Sheriffs Departments,,32084-0578,904-810-6779,
67 W Buffalo St,Warsaw,United States,Wyoming County,"Warsaw, NY",Warsaw Village Police Department,11,585-786-2000,3600,New York,Police Departments,,14569-1225,585-786-2598,
4700 W Midway Rd,Ft Pierce,United States,St Lucie County,"Ft Pierce, FL",St Lucie County Sheriffs Office,348,772-462-7300,180937,Florida,Sheriffs Departments,,34981-4825,772-489-5851,
10750 Ulmerton Rd,Largo,United States,Pinellas County,"Largo, FL",Pinellas County Sheriffs Office,902,727-582-6200,950000,Florida,Sheriffs Departments,,33778-1703,727-582-6459,
504 NW 4th St,Okeechobee,United States,Okeechobee County,"Okeechobee, FL",Okeechobee County Sheriffs Office,50,863-763-3117,35000,Florida,Sheriffs Departments,,34972-2502,863-763-7157,
400 Simpson Rd,Kissimmee,United States,Osceola County,"Kissimmee, FL",Osceola County Sheriffs Office,215,407-348-2222,105000,Florida,Sheriffs Departments,,34744-4455,407-348-1115,
8700 Citizens Dr,New Port Richey,United States,Pasco County,"New Port Richey, FL",Pasco County Sheriffs Office,621,727-847-5878,321074,Florida,Sheriffs Departments,,34654-5599,727-844-7742,
3228 Gun Club Rd,W Palm Beach,United States,Palm Beach County,"W Palm Beach, FL",Palm Beach County Sheriffs Office,1500,561-688-3026,1000000,Florida,Sheriffs Departments,,33406-3093,561-688-3033,
515 11th St W,Bradenton,United States,Manatee County,"Bradenton, FL",Manatee County Sheriffs Office,1000,941-747-3011,211000,Florida,Sheriffs Departments,,34205-7722,941-749-5401,
50 Bobby Moore Cir,Yulee,United States,Nassau County,"Yulee, FL",Nassau County Sheriffs Department,80,904-225-0331,59830,Florida,Sheriffs Departments,,32097-5400,904-225-9189,
46 N Main St,Perry,United States,Wyoming County,"Perry, NY",Perry Village Police Department,12,585-237-5445,8000,New York,Police Departments,,14530-1314,585-237-5509,
2825 Municipal Way,Tallahassee,United States,Leon County,"Tallahassee, FL",Leon County Sheriffs Office,224,850-922-3300,244208,Florida,Sheriffs Departments,,32304-3898,850-922-3337,
120 W Main St Ste 129,Mayo,United States,Lafayette County,"Mayo, FL",Lafayette County Sheriffs Office,7,386-294-1222,7000,Florida,Sheriffs Departments,,,386-294-1190,
1 Basin St,Penn Yan,United States,Yates County,"Penn Yan, NY",Penn Yan Village Police Department,13,315-536-4426,5500,New York,Police Departments,,14527-1626,,
18900 Cortez Blvd,Brooksville,United States,Hernando County,"Brooksville, FL",Hernando County Sheriffs Office,219,352-754-6830,132247,Florida,Sheriffs Departments,,34601-3027,352-796-0493,
101 S Bridge St,Labelle,United States,Hendry County,"Labelle, FL",Hendry County Sheriffs Office,75,863-674-4060,30000,Florida,Sheriffs Departments,,33935-4686,863-674-4624,
2008 E 8th Ave,Tampa,United States,Hillsborough County,"Tampa, FL",Hillsborough County Sheriffs Office,1125,813-247-8000,1055000,Florida,Sheriffs Departments,,33605-3998,813-247-0980,
339 E Jefferson St,Quincy,United States,Gadsden County,"Quincy, FL",Gadsden County Sheriffs Office,30,850-627-9233,46000,Florida,Sheriffs Departments,,32351-2531,850-875-8881,
144 E Main St,Palmyra,United States,Wayne County,"Palmyra, NY",Palmyra Village Police Department,6,315-597-9211,4954,New York,Police Departments,,14522-1018,315-597-9606,
599 Ave J,Moore Haven,United States,Glades County,"Moore Haven, FL",Glades County Sheriffs Office,18,863-946-1600,7500,Florida,Sheriffs Departments,,,863-946-0845,
226 N Marion Ave,Lake City,United States,Columbia County,"Lake City, FL",Columbia County Sheriffs Department,113,386-752-9212,55000,Florida,Sheriffs Departments,,32055-3917,386-758-2127,
3301 Tamiami Trl E Bldg J,Naples,United States,Collier County,"Naples, FL",Collier County Sheriffs Department,617,239-774-4434,227722,Florida,Sheriffs Departments,,34112-4902,,
1700 W Leonard St,Pensacola,United States,Escambia County,"Pensacola, FL",Escambia County Sheriffs Office,409,850-436-9630,291000,Florida,Sheriffs Departments,,32501-1197,850-436-9491,
901 N Orange Ave,Green Cove Springs,United States,Clay County,"Green Cove Springs, FL",Clay County Sheriffs Office,280,904-284-7575,135000,Florida,Sheriffs Departments,,32043-2527,904-284-0710,
100 E Miller St,Newark,United States,Wayne County,"Newark, NY",Newark Village Police Department,19,315-331-3701,10003,New York,Police Departments,,14513-1525,315-331-8336,
2601 W Broward Blvd,Ft Lauderdale,United States,Broward County,"Ft Lauderdale, FL",Broward County Sheriffs Office,2600,954-831-8901,1250000,Florida,Sheriffs Departments,,33312-1308,954-797-0936,
56 N Second St,Macclenny,United States,Baker County,"Macclenny, FL",Baker County Sheriffs Office,30,904-259-2231,21000,Florida,Sheriffs Departments,,32063-2296,904-259-4254,
117 Main St,Mt Morris,United States,Livingston County,"Mt Morris, NY",Mount Morris Village Police Department,17,585-658-2380,4000,New York,Police Departments,,14510-1289,585-658-2473,
38 The Green,Dover,United States,Kent County,"Dover, DE",Kent Country Sheriffs Department,3,302-736-2161,110900,Delaware,Sheriffs Departments,,19901-3620,302-736-2164,
96 Main St,Macedon,United States,Wayne County,"Macedon, NY",Macedon Police Department,4,315-986-7436,10000,New York,Police Departments,,14502-8991,315-986-2825,
11400 Hwy 24,Divide,United States,Teller County,"Divide, CO",Teller County Sheriffs Department,47,719-687-9652,18500,Colorado,Sheriffs Departments,,80814-9212,719-687-7927,
315 Cedar St,Julesburg,United States,Sedgwick County,"Julesburg, CO",Sedgwick County Sheriffs Office,5,970-474-3355,2700,Colorado,Sheriffs Departments,,80737-1532,970-474-2749,
72 William St,Lyons,United States,Wayne County,"Lyons, NY",Lyons Village Police Department,11,315-946-4151,4300,New York,Police Departments,,14489-1547,315-946-3149,
3 W Main St,Leroy,United States,Genesee County,"Leroy, NY",Leroy Village Police Department,9,585-768-2527,5000,New York,Police Departments,,14482-1397,585-768-8037,
215 Rice St,Grand Junction,United States,Mesa County,"Grand Junction, CO",Mesa County Sheriff's Office (CO),145,970-244-3900,120000,Colorado,Sheriffs Departments,,81505-5818,970-244-3503,
742 Turner Dr,Durango,United States,La Plata County,"Durango, CO",La Plata County Sheriff Office,90,970-247-1157,45000,Colorado,Sheriffs Departments,,81303-7914,970-247-1618,
311 N Henson St,Lake City,United States,Hinsdale County,"Lake City, CO",Hinsdale County Sheriffs Office,4,970-944-2291,595,Colorado,Sheriffs Departments,,,970-944-2744,
8-10 Thomas St,Holley,United States,Orleans County,"Holley, NY",Holley Village Police Department,10,585-638-5308,3500,New York,Police Departments,,14470-1197,585-638-7212,
2960 Dory Hill Rd Ste 300,Golden,United States,Jefferson County,"Golden, CO",Gilpin County Sheriffs Office,24,303-582-1060,5000,Colorado,Sheriffs Departments,,80403-8771,303-582-3813,
409 N Main St,Dove Creek,United States,Dolores County,"Dove Creek, CO",Dolores County Sheriff,4,970-677-2257,1700,Colorado,Sheriffs Departments,,81324,970-677-2880,
1437 Bannock #508,Denver,United States,Denver County,"Denver, CO",Denver County Sheriff Department,729,720-865-9567,600000,Colorado,Sheriffs Departments,,80202-5337,720-865-9591,
107 8th St,Glenwood Spgs,United States,Garfield County,"Glenwood Spgs, CO",Garfield County Sheriffs Office,25,970-945-0453,49000,Colorado,Sheriffs Departments,,81601-3303,970-945-6430,
110 E 6th St,Ordway,United States,Crowley County,"Ordway, CO",Crowley County Sheriffs Department,9,719-267-5555,5000,Colorado,Sheriffs Departments,,81063-1043,719-267-3089,
255 Exchange St,Geneva,United States,Ontario County,"Geneva, NY",Geneva City Police Department,36,315-789-4623,13617,New York,Police Departments,,14456-2406,315-789-1814,
91 E First St,Cheyenne Wells,United States,Cheyenne County,"Cheyenne Wells, CO",Cheyenne County Sheriffs Department,5,719-767-5633,3000,Colorado,Sheriffs Departments,,80810-9701,719-767-5023,
103 Main & Gasper St,San Luis,United States,Costilla County,"San Luis, CO",Costilla County Sheriffs Department,6,719-672-3302,6000,Colorado,Sheriffs Departments,,,719-672-1091,
6683 County Rd 13,Conejos,United States,Conejos County,"Conejos, CO",Conejos County Sheriffs Office,6,719-376-2196,8500,Colorado,Sheriffs Departments,,81120,719-376-2557,
800 S Victoria Ave,Ventura,United States,Ventura County,"Ventura, CA",Ventura County Sheriffs Department,729,805-654-2315,299877,California,Sheriffs Departments,,93009-0001,805-645-1391,
1777 6th St,Boulder,United States,Boulder County,"Boulder, CO",Boulder County Sheriffs Office,190,303-441-3600,292000,Colorado,Sheriffs Departments,,80302-5814,303-441-4739,
41793 Gibson Rd,Woodland,United States,Yolo County,"Woodland, CA",Yolo County Sheriffs Department,62,530-668-5280,140000,California,Sheriffs Departments,,95776-9327,530-668-5238,
101 Memorial Dr,Weaverville,United States,Trinity County,"Weaverville, CA",Trinity County Sheriffs Department,15,530-623-3740,15000,California,Sheriffs Departments,,,530-623-3926,
2796 Ventura Ave,Santa Rosa,United States,Sonoma County,"Santa Rosa, CA",Sonoma County Sheriffs Department,202,707-565-2511,368200,California,Sheriffs Departments,,95403-2226,707-526-0403,
119 Main St,Geneseo,United States,Livingston County,"Geneseo, NY",Geneseo Village Police Department,9,585-243-2420,8000,New York,Police Departments,,14454-1237,585-243-9190,
31 S Main St,Fairport,United States,Monroe County,"Fairport, NY",Fairport Village Police Department,12,585-223-1740,5943,New York,Police Departments,,14450-2132,585-223-1759,
1585 Kansas Ave,San Luis Obispo,United States,San Luis Obispo County,"San Luis Obispo, CA",San Luis Obispo County Sheriff,159,805-781-4540,256200,California,Sheriffs Departments,,93406,805-781-1075,
4434 Calle Real,Santa Barbara,United States,Santa Barbara County,"Santa Barbara, CA",Santa Barbara County Sheriffs Department,601,805-681-4100,193750,California,Sheriffs Departments,,93110-1002,805-681-4322,
100 Courthouse Sq,Downieville,United States,Sierra County,"Downieville, CA",Sierra County Sheriffs Department,14,530-289-3700,3300,California,Sheriffs Departments,,,530-289-3318,
1 Dr Carlton B Goodlett Pl Rm 456,San Francisco,United States,San Francisco County,"San Francisco, CA",San Francisco Sheriffs Department,830,415-554-7225,770000,California,Sheriffs Departments,,94102-4603,415-554-7050,
711 G St,Sacramento,United States,Sacramento County,"Sacramento, CA",Sacramento County Sheriffs Department,1246,916-874-8444,1149200,California,Sheriffs Departments,,95814-1212,916-874-5332,
7000 Michael Canlis Blvd,French Camp,United States,San Joaquin County,"French Camp, CA",San Joaquin County Sheriffs Department,447,209-468-4310,562000,California,Sheriffs Departments,,95231-9781,209-468-4597,
4095 Lemon,Riverside,United States,Riverside County,"Riverside, CA",Riverside County Sheriffs Department,1359,909-776-1099,1328300,California,Sheriffs Departments,,92502-3600,909-955-2428,
1400 E Main St,Quincy,United States,Plumas County,"Quincy, CA",Plumas County Sheriffs Office,37,530-283-6375,21000,California,Sheriffs Departments,,95971-9402,530-283-6344,
11500 A Ave,Auburn,United States,Placer County,"Auburn, CA",Placer County Sheriffs Department,218,530-889-7800,220000,California,Sheriffs Departments,,95603-2611,530-889-6883,
